Field,Value
"Gabe Black,Min Kyu Jeong",4
"Giacomo Gabrielli,Ali Saidi",4
"Gabe Black,Hoa Nguyen",4
"Gabe Black,Gene WU",4
"Bobby R. Bruce,Melissa Jost",4
"Matthew Poremba,Alexandru Dutu",4
"Lisa Hsu,Kevin Lim",4
"Kevin Lim,Lisa Hsu",4
"mlebeane,Michael LeBeane",4
"Jose Marinho,Sean Wilson",4
"Andreas Sandberg,Gabe Black",4
"Marco Kurzynski,Matthew Poremba",4
"Jairo Balart,Javier Bueno",4
"Matthew Poremba,Mahyar Samani",4
"Gabe Black,Alexander Klimov",4
"Gabe Black,Andreas Sandberg",4
"Gabe Black,Jordi Vaquero",4
"Nicholas Lindsay,Richard Cooper",4
"Bobby R. Bruce,Harshil Patel",4
"Nathanael Premillieu,Daniel R. Carvalho",4
"Tony Gutierrez,Brandon Potter",4
"Ali Saidi,Geoffrey Blake",4
"Timothy Hayes,Giacomo Travaglini",4
"Chander Sudanthi,Ali Saidi",4
"Tiago Mück,Tiago Muck",4
"Polina Dudnik,Daniel Sanchez",4
"Polina Dudnik,Derek Hower",4
"Kevin Lim,Nathan Binkert",4
"Zhantong Qiu,Bobby R. Bruce",4
"Tushar Krishna,Joel Hestness",4
"Andreas Hansson,Wendy Elsasser",4
"Dam Sunwoo,Giacomo Gabrielli",4
"Ali Saidi,William Wang",4
"Dan Gibson,Polina Dudnik",4
"David Hashe,Brandon Potter",3
"Amin Farmahini,Andreas Hansson",3
"Daniel R. Carvalho,Sascha Bischoff",3
"Dylan Johnson,Curtis Dunham",3
"Andreas Hansson,Brad Beckmann",3
"Ali Saidi,Gene WU",3
"Brad Beckmann ext:(%2C%20Nilay%20Vaish%20%3Cnilay%40cs.wisc.edu%3E),Nilay Vaish",3
"Ali Saidi,Anthony Gutierrez",3
"Alexandru Dutu,Tony Gutierrez",3
"Daniel R. Carvalho,Nikos Nikoleris",3
"Derek Hower,Polina Dudnik",3
"Derek Hower,Brad Beckmann",3
"Daniel Sanchez,Dan Gibson",3
"Ciro Santilli,Giacomo Travaglini",3
"Tiago Muck,Tiago Mück",3
"Richard Cooper,Giacomo Travaglini",3
"Tiago Mück,Gabe Black",3
"Tuan Ta,Moyang Wang",3
"Jason Lowe-Power,Bobby R. Bruce",3
"Korey Sewell,Nathan Binkert",3
"Giacomo Travaglini,Nikos Nikoleris",3
"Giacomo Gabrielli,Giacomo Travaglini",3
"Andreas Hansson,Stephan Diestelhorst",3
"Matteo Andreozzi,Giacomo Travaglini",3
"Min Kyu Jeong,Gene Wu",3
"Nuwan Jayasena,Joel Hestness",3
"Steve Reinhardt,Alexandru Dutu",3
"Steve Reinhardt,Erik Hallnor",3
"Anouk Van Laer,Jose Marinho",3
"Anouk Van Laer,Giacomo Travaglini",3
"Boris Shingarov,Daniel R. Carvalho",3
"Nikos Nikoleris,Gabe Black",3
"Melissa Jost,Gabe Black",3
"Matthew Sinclair,Brandon Potter",3
"Michiel Van Tol,Giacomo Travaglini",3
"Gabe Black,Rekai Gonzalez-Alberquilla",3
"Andreas Hansson,Uri Wiener",3
"Andreas Hansson,Prakash Ramrakhyani",3
"Gabe Black,Vince Weaver",3
"Tushar Krishna,Nathan Binkert",3
"Matt Horsnell,Dam Sunwoo",3
"Andreas Sandberg,Lluís Vilanova",3
"Matt Horsnell,Geoffrey Blake",3
"Ivana Mitrovic,Bobby R. Bruce",3
"Bobby R. Bruce,Matthew Poremba",3
"Nikos Nikoleris,Andreas Hansson",3
"Gabe Black,Adrian Herrera",3
"Geoffrey Blake,Andreas Hansson",3
"Bobby R. Bruce,Mahyar Samani",3
"Faissal Sleiman,Matt Horsnell",3
"Bobby R. Bruce,Jason Lowe-Power",3
"David Hashe,Blake Hechtman",2
"Daniel Kouchekinia,BujSet",2
"Daniel R. Carvalho,Jason Lowe-Power",2
"Daniel Johnson,Chander Sudanthi",2
"Polina Dudnik,Nathan Binkert",2
"Emily Brickey,Tony Gutierrez",2
"Andreas Hansson,Andrew Bardsley",2
"Andreas Hansson,Ani Udipi",2
"Derek Hower,Daniel Sanchez",2
"Brandon Potter,Alexandru Dutu",2
"Tiago Mück,Gabriel Busnot",2
"Brad Beckmann,Tony Gutierrez",2
"Brad Beckmann ext:(%2C%20Nilay%20Vaish%20%3Cnilay%40cs.wisc.edu%3E),Brad Beckmann",2
"Xianwei Zhang,Matt Sinclair",2
"William Wang,Ali Saidi",2
"Wendy Elsasser,Gabe Black",2
"Tony Gutierrez,Matt Sinclair",2
"Tony Gutierrez,Gabe Black",2
"Ali Saidi,Gene Wu",2
"Timothy M. Jones,Giacomo Gabrielli",2
"Srikant Bharadwaj,Michael LeBeane",2
"Ron Dreslinski,Lisa Hsu",2
"Shivani,Emily Brickey",2
"Andreas Hansson,Gabe Black",2
"Andreas Hansson,David Guillen-Fandos",2
"David Guillen Fandos,Andreas Sandberg",2
"David Guillen,Andreas Hansson",2
"David Guillen Fandos,Andreas Hansson",2
"Tiago Mück,Alexander Klimov",2
"Tiago Mück,Giacomo Travaglini",2
"Chander Sudanthi,Andreas Sandberg",2
"Ali Saidi,Prakash Ramrakhyani",2
"Andreas Hansson,ARM gem5 Developers",2
"Dan Gibson,Daniel Sanchez",2
"Stephan Diestelhorst,Andreas Hansson",2
"Stephan Diestelhorst,Marco Elver",2
"Dam Sunwoo,Mitch Hayenga",2
"Dam Sunwoo,Andreas Sandberg",2
"Dam Sunwoo,ARM gem5 Developers",2
"Curtis Dunham,Andrew Bardsley",2
"Curtis Dunham,Andreas Hansson",2
"Omar Naji,Andreas Hansson",2
"Omar Naji,Wendy Elsasser",2
"Maximilian Stein,Gabe Black",2
"Melissa Jost,Laura Hinman",2
"Giacomo Travaglini,Adrian Herrera",2
"Maximilien Breughe,Korey Sewell",2
"Michiel W. van Tol,Giacomo Travaglini",2
"Minje Jun,Víctor Soria Pardos",2
"Gabe Black,Matthew Poremba",2
"Giacomo Travaglini,Boris Shingarov",2
"Andreas Sandberg,Chander Sudanthi",2
"Andreas Hansson,Steve Reinhardt",2
"Andreas Hansson,Nikos Nikoleris",2
"Geoffrey Blake,Chander Sudanthi",2
"Mitch Hayenga ext:(%2C%20Amin%20Farmahini%20%3Caminfar%40gmail.com%3E),Mitch Hayenga",2
"Gabe Black,Vincentius Robby",2
"Andreas Hansson,Sascha Bischoff",2
"Nilay Vaish,Gabe Black",2
"Erik Hallnor,Steve Reinhardt",2
"Nikolaos Kyparissas,Giacomo Travaglini",2
"Nuwan Jayasena,Brad Beckmann",2
"Nitesh Narayana,Matthias Boettcher",2
"Gabe Black,Dam Sunwoo",2
"Erin (Jianghua) Le,Erin Le",2
"Nilay Vaish,Andreas Hansson",2
"Boris Shingarov,Michael LeBeane",2
"Nathan Binkert,Steve Raasch",2
"Andreas Sandberg,Curtis Dunham",2
"Bobby R. Bruce,Zhantong Qiu",2
"Gene Wu,Min Kyu Jeong",2
"Gene WU,Ali Saidi",2
"Matt Sinclair,Travis Boraten",2
"Mahyar Samani,Bobby R. Bruce",2
"Mahyar Samani,Jason Lowe-Power",2
"Mahyar Samani,Matthew Poremba",2
"Andreas Sandberg,Geoffrey Blake",2
"Andreas Sandberg,Sascha Bischoff",2
"Bobby R. Bruce,Giacomo Travaglini",2
"Benjamin Nash,Miguel Serrano",2
"Marco Balboni,Steve Reinhardt",2
"Bobby R. Bruce,Erin Le",2
"Matt Sinclair,Xianwei Zhang",2
"Matthew Poremba,Gabe Black",2
"Hoa Nguyen,Ivana Mitrovic",2
"Matthew Poremba,Bobby R. Bruce",2
"Matt Sinclair,Daniel Kouchekinia",2
"Lisa Hsu,Gabe Black",2
"Lisa Hsu,Andrew Schultz",2
"Kaustav Goswami,Bobby R. Bruce",2
"Krishnendra Nathella,Brandon Potter",2
"Joel Hestness,Gabe Black",2
"Joe Gross,Tony Gutierrez",2
"Jiasen,Andreas Sandberg",2
"Javier Setoain,Gabor Dozsa",2
"Javier Bueno,Daniel R. Carvalho",2
"Jason Lowe-Power,Harshil Patel",2
"Yu-Cheng Chang,Robert Hauser",2
"mbabaie,Melissa Jost",2
"Jordi Vaquero,Tony Gutierrez",2
"Tuan Ta,Tony Gutierrez",2
"Tuan Ta,Kyle Roarty",2
"Alexandru Dutu,Brandon Potter",2
"Alex Richardson,Gabe Black",2
"Adrien Pesle,Giacomo Travaglini",2
