Field,Value
"MinRK,Kyle Kelley",2
"Jonathan Frederic,Bussonnier Matthias",2
"Jason Grout,Min RK",2
"Min RK,Preston Holmes",2
"Min RK,Nicholas Bollweg (Nick)",2
"Min RK,Nathan Heijermans",2
"Jessica B. Hamrick,MinRK",2
"Min RK,Grant Nestor",2
"Jeremy Tuloup,github-actions[bot]",2
"Jeremy Tuloup,dependabot[bot]",2
"Jeremy Tuloup,pre-commit-ci[bot]",2
"Min RK,Gustavo Efeiche",2
"Michael Droettboom,Brian Granger",2
"Matthias Geier,Carol Willing",2
"Toon Baeyens,Mohammad Mostafa Farzan",2
"Sylvain Corlay,sylvain.corlay",2
"Fernando Perez,Thomas Kluyver",2
"Evan Patterson,epatters",2
"Erwin,Berend-Jan Lange",2
"Sylvain Corlay,Jason Grout",2
"Stefan van der Walt,MinRK",2
"YuviPanda,Jeremy Tuloup",2
"pre-commit-ci[bot],Jeremy Tuloup",2
"Brian E. Granger,Zachary Sailer",2
"Carol Willing,Min RK",2
"Brian Granger,Fernando Perez",2
"foo,Jeremy Tuloup",2
"jdfreder,Kyle Kelley",2
"Brian E. Granger,Thomas Kluyver",2
"fabihaahmed,Joshua Zeltser",2
"Rosa Swaby,danagilliann",2
"Srinivas Reddy Thatiparthy,Min RK",2
"Peter Parente,Min RK",2
"Peter Parente,Jonathan Frederic",2
"Nicolas Brichet,pre-commit-ci[bot]",2
"Paul Ivanov,Matthias BUSSONNIER",2
"Jason Goad,Thomas Kluyver",2
"Stefan van der Walt,Fernando Perez",2
"Greg Mooney,jtpio",2
"Mateusz Paprocki,Jessica B. Hamrick",1
"Luciano Resende,bermani",1
"Lumír 'Frenzy' Balhar,Jeremy Tuloup",1
"韩韬,ednut15",1
"Kyle Kelley,jdfreder",1
"韩韬,Norah Abanumay",1
"Lorenzo Gasparini,Michael Pacer",1
"Matthias Bussonnier,Philipp A",1
"Matthias Bussonnier,Josh Barnes",1
"Matthias Bussonnier,Arjun Radhakrishna",1
"Joshua Zeltser,norah",1
"Joshua Zeltser,ednut15",1
"Joshua Zeltser,fabihaahmed",1
"Jonathan Frederic,Safia Abdalla",1
"Jonathan Frederic,Steven Silvester",1
"Kyle Kelley,MinRK",1
"Kyle Kelley,Bussonnier Matthias",1
"Jonathan Frederic,Pierre Gerold",1
"Jonathan Frederic,Nathan Heijermans",1
"Kevin Bates,Thomas Kluyver",1
"Kevin Bates,Zachary Sailer",1
