Field,Value
"Kierstyn Just,Jamie V",1
"Marcelo Arias,dependabot[bot]",1
"Michael Rogers,Shefali Joshi",1
"Michael Rogers,dependabot[bot]",1
"Nikhil,Joshi",1
"John Hill,Scott Bell",1
"Pete Richards,Shivam Dave",1
"Pete Richards,Daniel Pacak",1
"Pegah Sarram,charlesh88",1
"Nikhil,Michael Rogers",1
"Nikhil,Khalid Adil",1
"Nikhil,Scott Bell",1
"Nikhil,John Hill",1
"Khalid Adil,Jamie V",1
"Sarah Hale,Shivam Dave",1
"Sarah Hale,Dave",1
"Shefali Joshi,John Hill",1
"Shefali Joshi,Scott Bell",1
"Pete Richards,charlesh88",1
"Sarin,pacozaa",1
"Rukmini Bose (Ruki),Shefali Joshi",1
"Shefali Joshi,Charles Hacskaylo",1
"Shivam Dave,Pete Richards",1
"Shefali Joshi,Deep Tailor",1
"dependabot[bot],Andrew Henry",1
"dependabot[bot],Alize Nguyen",1
"Vitor Henckel,Rukmini Bose (Ruki)",1
"Will,Joel McKinnon",1
"Victor Woeltjen,Pete Richards",1
"Victor Woeltjen,slhale",1
"Tristan F,dependabot[bot]",1
"Victor Woeltjen,Colm Seale",1
"charlesh88,Pete Richards",1
"charlesh88,Joshi",1
"dependabot[bot],Rukmini Bose (Ruki)",1
"dependabot[bot],Marcelo Arias",1
"pacozaa,Andrew Henry",1
"larkin,Charles Hacskaylo",1
,
Committer Timezone Distribution,Unique Timezones: 15
Timezone,Commits
+00:00,387
+01:00,56
+02:00,39
+03:00,47
+04:00,2
+05:30,1
+07:00,9
+09:00,60
+11:00,2
-03:00,2
-04:00,36
-05:00,36
-06:00,15
-07:00,4539
-08:00,2819
,
Contributors Experience,Average across 3762 files: 76.81%
File,Top Contributor Share (%)
platform/persistence/README.md,100.00
platform/framework/lib/require.js,100.00
platform/framework/test/lib/blanket.js,100.00
platform/framework/test/lib/blanket_jasmine.js,100.00
platform/framework/test/lib/console-runner.js,100.00
platform/framework/test/lib/css/jasmine.css,100.00
platform/framework/test/lib/css/test.css,100.00
platform/framework/test/lib/jasmine-blanket.js,100.00
platform/framework/test/lib/jasmine-html.js,100.00
platform/framework/test/lib/jasmine.js,100.00
