Project_Name,Author,Mean_Commit_Time,Total_Code_Churn,Average_Daily_Code_Churn,Average_Daily_Num_Commits,Total_Commits
AXPhotoViewer,Alex Gabilondo,62.67267128168584,8289,176.36170212765958,4.659574468085107,219
ColossalAI,Baizhou Zhang,223.38095238095238,3922,560.2857142857143,3.5714285714285716,25
ColossalAI,Boyuan Yao,167.08333333333334,1709,213.625,2.625,21
ColossalAI,FoolPlayer,0.0,10344,3448.0,10.666666666666666,32
ColossalAI,Frank Leon Rose,145.1652552773687,59381,612.1752577319587,3.8247422680412373,371
ColossalAI,HELSON,171.83179723502306,2956,95.35483870967742,2.4193548387096775,75
ColossalAI,Jeffrey Noehren,92.65079365079364,5359,765.5714285714286,3.7142857142857144,26
ColossalAI,Jianghai,147.73333333333332,15703,3140.6,6.8,34
ColossalAI,Jiatong (Julius) Han,137.09636306675782,82054,1025.675,3.8625,309
ColossalAI,Tongliang Liu,159.9424603174603,21890,521.1904761904761,2.7857142857142856,117
ColossalAI,YeAnbang,75.2611111111111,23365,1947.0833333333333,4.083333333333333,49
ColossalAI,Yuanheng Zhao,228.10416666666669,15674,1959.25,3.0,24
ColossalAI,YuliangLiu0306,132.13166666666666,24191,604.775,2.6,104
ColossalAI,Ziyue Jiang,278.5,1805,164.0909090909091,2.3636363636363638,26
ColossalAI,binmakeswell,107.67543859649122,16841,886.3684210526316,2.6842105263157894,51
ColossalAI,digger-yu,168.10784313725492,11,0.6470588235294118,2.176470588235294,37
ColossalAI,flybird11111,129.20833333333334,10577,881.4166666666666,2.5,30
ColossalAI,hxwang,76.625,1588,397.0,9.5,38
ColossalAI,oahzxl,117.99480646804176,82104,3284.16,5.12,128
ColossalAI,ver217,132.5395238095238,11277,225.54,3.3,165
ColossalAI,wangbluo,77.80454545454546,410,37.27272727272727,5.181818181818182,57
ColossalAI,yuehuayingxueluo,136.39583333333334,2061,343.5,4.5,27
ComfyUI,Chen Yufei,336.9601449275362,142669,6203.0,2.4782608695652173,57
ComfyUI,EllangoK,165.40857142857143,673,134.6,4.6,23
ComfyUI,comfyanonymous,305.80591607603446,673758,1328.9112426035504,4.029585798816568,2043
ComfyUI,pythongosssss,94.00608292416801,10797,229.72340425531914,3.851063829787234,181
ComfyUI,space-nuko,26.573863636363637,802,133.66666666666666,5.0,30
ComfyUI-WanVideoWrapper,kijai,167.7385505935775,1051138,55323.05263157895,7.947368421052632,151
DeepEP,Chenggang Zhao,110.61111111111113,11815,1687.857142857143,3.142857142857143,22
DeepSeek-RAG-Chatbot,N Sai Akhil,18.8,636,159.0,6.75,27
Figma-Context-MCP,Graham Lipsman,165.04166666666669,2605,260.5,3.5,35
FreeTube,Cadence Ember,32.84869963369963,1283,128.3,6.1,61
FreeTube,ChunkyProgrammer,231.78787878787878,2672,121.45454545454545,2.409090909090909,53
FreeTube,Dragibus Noir,425.1578947368421,333,17.526315789473685,2.263157894736842,43
FreeTube,Gideon Wentink,249.35,148,14.8,2.4,24
FreeTube,Grzegorz Rożniecki,515.0333333333333,276,18.4,2.066666666666667,31
FreeTube,Hosted Weblate,199.96428571428572,11938,795.8666666666667,3.066666666666667,46
FreeTube,J. Lavoie,10.587151841868822,1370,25.849056603773583,6.0,318
FreeTube,Jiasen,293.09090909090907,1202,109.27272727272727,2.1818181818181817,24
FreeTube,Johannes H. Jensen,179.5,1248,78.0,2.9375,47
FreeTube,Lucas-lyh,66.42222222222223,63068,2335.8518518518517,3.185185185185185,86
FreeTube,Massimo Pissarello,376.90909090909093,56,5.090909090909091,2.1818181818181817,24
FreeTube,Milo Ivir,338.0793650793651,309,14.714285714285714,2.3333333333333335,49
FreeTube,Oğuz Ersen,452.22222222222223,121,13.444444444444445,2.2222222222222223,20
FreeTube,PikachuEXE,208.16666666666666,912,38.0,2.1666666666666665,52
FreeTube,Riki Shinozaki,200.83055555555555,259,21.583333333333332,2.9166666666666665,35
FreeTube,Sandyran,88.46153846153847,513,39.46153846153846,2.3076923076923075,30
FreeTube,Svallinn,115.70763888888888,6878,286.5833333333333,3.625,87
FreeTube,Sveinn í Felli,200.4375,1066,133.25,2.5,20
FreeTube,The Cats,29.29090909090909,243,22.09090909090909,2.4545454545454546,27
FreeTube,Yaron Shahrabani,388.68333333333334,133,13.3,2.3,23
FreeTube,comfyanonymous,375.17333333333335,1547,221.0,5.142857142857143,36
