Project_Name,Author,Mean_Commit_Time,Average_Daily_Code_Churn,Average_Daily_Num_Commits,Total_Commits
AXPhotoViewer,Alex Hill,92.58775510204082,140.80597014925374,3.671641791044776,246
Hunyuan3D-2,Zeqiang Lai,27.275862068965512,79.0,2.5,30
Hunyuan3D-2,Zeqiang-Lai,23.8,92.22222222222223,3.4444444444444446,31
R1-V,Liang Chen,8.12987012987013,-62369.625,4.875,78
R1-V,Vinci,9.571428571428571,170748.5,4.833333333333333,29
R1-V,stephenruan,14.733333333333333,5260.111111111111,3.4444444444444446,31
WordCram,Dan Bernier,165.17073170731706,823.4375,6.0,288
WordCram,danbernier,34.83673469387755,240.82716049382717,3.6419753086419755,295
YuE,Ruibin Yuan,17.607843137254903,1.8333333333333333,4.333333333333333,52
YuE,a43992899,2.5,85.75,7.75,31
YuE,hf-lin,11.363636363636363,207.14285714285714,3.2857142857142856,23
Zonos,Gabriel Clark,17.771428571428572,181.5,4.5,36
Zonos,sekstini,6.620689655172414,517.8571428571429,4.285714285714286,30
cscore,CsUtil.com,480.24509803921563,3181.617283950617,1.271604938271605,103
cscore,Nick,66.37037037037037,583.5,2.8,28
cscore,Nico Walheim,27.6734693877551,67.11764705882354,2.9411764705882355,50
cscore,Radu-Mihai Castravet,91.0,810.8888888888889,3.0,27
cscore,S,20.914048865619545,673.1537216828478,3.7103559870550162,2293
deep-research,David Zhang,8.628571428571428,309.3333333333333,4.0,36
fastcache,Aliaksandr Valialkin,827.188679245283,6163.96875,1.6875,54
kdam,clitic,173.19014084507043,59.12222222222222,1.5888888888888888,143
mygpo,Alexander Duml,34.26923076923077,3931.9545454545455,2.409090909090909,53
mygpo,Armin Muellner,41.439024390243894,2929.9333333333334,2.8,42
mygpo,Guilherme,708.15,239.8,4.2,21
mygpo,Josh Clements,110.11016949152543,34.68852459016394,3.8852459016393444,237
mygpo,Martin Wieser,32.48076923076923,160.96153846153845,2.0384615384615383,53
mygpo,Ssuching Yu,65.32,1563.9,2.6,26
mygpo,Stefan Koegl,49.846753246753245,221.2030456852792,3.9137055837563453,771
mygpo,Stefan Kögl,43.38619119878604,424.27841845140034,4.344316309719934,2637
mygpo,Thomas Perl,1124.5098039215686,779.21875,3.21875,103
plantuml-markdown,Michele Tessaro,310.88461538461536,64.78888888888889,3.188888888888889,287
react-hooks-svgdrawing,Renovate Bot,207.28682170542635,1.69,1.3,130
react-hooks-svgdrawing,kmkzt,215.95,783.2142857142857,2.9285714285714284,41
s1,Niklas Muennighoff,18.902439024390244,186.0,2.4705882352941178,42
union,Abdullah Eryuzlu,104.13375796178345,8861.844262295082,1.2950819672131149,158
union,Ben Luelo,17.58407079646018,22883.893617021276,4.829787234042553,227
union,Connor Davis,68.39495798319328,495.14473684210526,1.5723684210526316,239
union,Hussein Ait Lahcen,14.085664335664335,8233.868421052632,5.021929824561403,1145
union,Jurriaan Pruijs,113.52873563218391,1079.4727272727273,1.6,88
