Field,Value
Completion/Base/Utility/_values,93.30
Completion/Base/Widget/.distfiles,100.00
Completion/Base/Widget/_bash_completions,97.92
Completion/Base/Widget/_complete_debug,44.44
Completion/Base/Widget/_complete_help,59.63
Completion/Base/Widget/_complete_tag,89.06
Completion/Base/Widget/_correct_filename,98.63
Completion/Base/Widget/_correct_word,100.00
Completion/Base/Widget/_expand_word,100.00
Completion/Base/Widget/_generic,55.00
Completion/Base/Widget/_history_complete_word,100.00
Completion/Base/Widget/_most_recent_file,66.67
Completion/Base/Widget/_next_tags,73.82
Completion/Base/Widget/_read_comp,98.69
Completion/Base/_arg_compile,100.00
Completion/Base/_argument_sets,100.00
Completion/Base/_arguments,42.13
Completion/Base/_brace_parameter,71.43
Completion/Base/_cache_invalid,100.00
Completion/Base/_combination,75.40
Completion/Base/_command_names,90.91
Completion/Base/_complete_opts,100.00
Completion/Base/_condition,83.87
Completion/Base/_default,48.78
Completion/Base/_describe,71.10
Completion/Base/_equal,72.73
Completion/Base/_first,78.75
Completion/Base/_in_vared,100.00
Completion/Base/_job,100.00
Completion/Base/_jobs,70.71
Completion/Base/_long_options,100.00
Completion/Base/_match_pattern,100.00
Completion/Base/_match_test,100.00
Completion/Base/_math,81.82
Completion/Base/_parameter,100.00
Completion/Base/_precommand,100.00
Completion/Base/_redirect,100.00
Completion/Base/_regex_arguments,100.00
Completion/Base/_retrieve_cache,100.00
Completion/Base/_store_cache,100.00
Completion/Base/_sub_commands,100.00
Completion/Base/_subscript,75.34
Completion/Base/_tilde,73.13
Completion/Base/_value,54.41
Completion/Base/_values,79.78
Completion/Base/_vars,100.00
Completion/Bsd/.distfiles,100.00
Completion/Bsd/_bsd_pkg,98.73
Completion/Bsd/_cvsup,100.00
Completion/Bsd/_kld,97.83
Completion/Builtins/.distfiles,35.00
Completion/Builtins/_aliases,86.96
Completion/Builtins/_arrays,50.00
Completion/Builtins/_autoload,69.23
Completion/Builtins/_bg_jobs,100.00
Completion/Builtins/_bindkey,82.35
Completion/Builtins/_builtin,53.33
Completion/Builtins/_cd,59.74
Completion/Builtins/_command,50.00
Completion/Builtins/_compdef,37.50
Completion/Builtins/_dirs,100.00
Completion/Builtins/_disable,50.00
Completion/Builtins/_echotc,100.00
Completion/Builtins/_emulate,75.00
Completion/Builtins/_enable,50.00
Completion/Builtins/_fc,45.00
Completion/Builtins/_fg_jobs,100.00
