Field,Value
"dependabot-preview[bot],dependabot[bot]",1
"dan phrawzty,Alexis Métaireau",1
"choclate,Mathieu Leplatre",1
"Taus,Mathieu Leplatre",1
"Vamsi Sangam,Rémy HUBSCHER",1
"heron,Heron",1
"mozillazg,Rémy HUBSCHER",1
"grahamalama,Mathieu Leplatre",1
"mansimarkaur,Gabriela Surita",1
"pyup-bot,Francisco J. Piedrahita",1
"pyup-bot,Mathieu Leplatre",1
"rektide,Mathieu Leplatre",1
"renisha,Mathieu Leplatre",1
"sunakshi96,Rémy HUBSCHER",1
"Éric Lemoine,Alexis Metaireau",1
"Étienne,Enguerran Colson",1
,
Committer Timezone Distribution,Unique Timezones: 17
Timezone,Commits
+00:00,415
+01:00,3374
+02:00,3483
+03:00,29
+03:30,4
+05:30,103
+07:00,8
+08:00,40
+09:00,1
+12:00,1
-02:00,163
-03:00,86
-04:00,630
-05:00,341
-06:00,4
-07:00,110
-08:00,22
,
Contributors Experience,Average across 924 files: 81.69%
File,Top Contributor Share (%)
loadtests/__init__.py,100.00
loadtests/bench.ini,100.00
readinglist/auth.py,100.00
readinglist/schemas.py,100.00
run.py,100.00
settings.py,100.00
readinglist/events.py,100.00
readinglist/views.py,100.00
readinglist/tests.py,100.00
readinglist.ini,100.00
