Project Name,Author,Total Commits,Total PRs,Avg PR Merge Time (hours),Total Issues,Avg Issue Resolution Time (hours),Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors,Bug Fix Commit Count,log_defect_density,log_lead_time,log_code_churn,logit_failed_rate
AXPhotoViewer,Alessandro Nakamuta,16,88,85.41988888888889,120,29369.28958333333,36,0,0.9666666666666668,0,7,152,inf,10.290609090461963,-6.742878695458805,-3.367295829986478
AXPhotoViewer,Alex Gabilondo,56169,5214,85.41988888888889,7110,29369.28958333333,2133,0,0.9666666666666668,0,7,9006,inf,10.290609090461963,-5.5298402788127285,-3.367295829986478
AXPhotoViewer,BiNo,4,44,85.41988888888889,60,29369.28958333333,18,0,0.9666666666666668,0,7,76,3.6375861597263857,10.290609090461963,-13.815510557964274,-3.367295829986478
AXPhotoViewer,Christian Stade-Schuldt,25,110,85.41988888888889,150,29369.28958333333,45,0,0.9666666666666668,0,7,190,2.5465219366548455,10.290609090461963,-8.536113500667499,-3.367295829986478
AXPhotoViewer,Daniel Roy Greenfeld,1,22,85.41988888888889,30,29369.28958333333,9,0,0.9666666666666668,0,7,38,2.9444389791664403,10.290609090461963,-3.13549421592915,-3.367295829986478
AXPhotoViewer,Matt Calhoun,1,22,85.41988888888889,30,29369.28958333333,9,0,0.9666666666666668,0,7,38,-0.8283219589281979,10.290609090461963,1.318853080324358,-3.367295829986478
AXPhotoViewer,Michał Czwarnowski,1,22,85.41988888888889,30,29369.28958333333,9,0,0.9666666666666668,0,7,38,3.6375861597263857,10.290609090461963,-13.815510557964274,-3.367295829986478
AXPhotoViewer,William Martin Stewart,1,22,85.41988888888889,30,29369.28958333333,9,0,0.9666666666666668,0,7,38,2.9444389791664403,10.290609090461963,-3.13549421592915,-3.367295829986478
ActivityIndicatorView,Alisa Mylnikova,225,165,36.142222222222216,390,1195.6669444444444,195,0,0.9666666666666668,0,7,240,-0.016796349221998477,7.11623923490951,-6.199004295157577,-3.3672958299864786
ActivityIndicatorView,Brendan Kirchner,1,11,36.142222222222216,26,1195.6669444444444,13,0,0.9666666666666668,0,7,16,2.772588722239781,7.11623923490951,-13.815510557964274,-3.367295829986478
ActivityIndicatorView,CheolHyun Mun,4,22,36.142222222222216,52,1195.6669444444444,26,0,0.9666666666666668,0,7,32,2.772588722239781,7.11623923490951,-13.815510557964274,-3.367295829986478
ActivityIndicatorView,Dmitry Polyakovsky,25,55,36.142222222222216,130,1195.6669444444444,65,0,0.9666666666666668,0,7,80,1.3894440325135182,7.11623923490951,-7.92547464609533,-3.367295829986478
ActivityIndicatorView,Igor Zapletnev,1,11,36.142222222222216,26,1195.6669444444444,13,0,0.9666666666666668,0,7,16,-13.815510557964274,7.11623923490951,-13.815510557964274,-3.367295829986478
ActivityIndicatorView,James Jenkinson,4,22,36.142222222222216,52,1195.6669444444444,26,0,0.9666666666666668,0,7,32,1.967869766022731,7.11623923490951,-7.457061423316191,-3.367295829986478
ActivityIndicatorView,Sebastian Krzyszkowiak,225,165,36.142222222222216,390,1195.6669444444444,195,0,0.9666666666666668,0,7,240,-4.170979142995339,7.11623923490951,-7.896899399348554,-3.3672958299864786
ActivityIndicatorView,Yi-Hsiu Lee,1,11,36.142222222222216,26,1195.6669444444444,13,0,0.9666666666666668,0,7,16,1.6739764335716716,7.11623923490951,-1.7917594692280554,-3.367295829986478
ActivityIndicatorView,fjsw,1,11,36.142222222222216,26,1195.6669444444444,13,0,0.9666666666666668,0,7,16,-1.4469189829363256,7.11623923490951,1.7197859696029656,-3.367295829986478
ActivityIndicatorView,mylnikova.alisa,25,55,36.142222222222216,130,1195.6669444444444,65,0,0.9666666666666668,0,7,80,inf,7.11623923490951,-9.006010122469785,-3.367295829986478
AgentLaboratory,Ashwanth Kumar,1,30,31.19733333333333,30,96.74488095238095,3,0,0.9666666666666668,0,7,7,1.9459101490553132,4.851578711092126,-13.815510557964274,-3.367295829986478
