repo_name,total_commits,total_prs,avg_pr_merge_time,total_issues,issue_reopening_rate,ci_cd_success_rate
google/guava,6847,100,1.7130729166666667,100,0.0,0.9666666666666668
FreeTubeApp/FreeTube,8229,100,34.78921921921922,100,0.0,0.9
coralproject/talk,5081,100,106.20981780167264,100,0.0,0.9666666666666668
gem5/gem5,22316,100,140.79723104056436,100,0.0,0.9333333333333332
RVC-Boss/GPT-SoVITS,880,100,81.21769764957266,100,0.0,0.8571428571428571
skylot/jadx,2402,100,34.04411111111111,100,0.0,0.9666666666666668
browser-use/browser-use,1248,100,20.594136904761907,100,0.0,0.5
hiyouga/LLaMA-Factory,2713,100,5.522453102453103,100,0.0,0.7
CorentinJ/Real-Time-Voice-Cloning,297,100,199.8156349206349,100,0.0,0.8571428571428571
meta-llama/llama,148,100,123.50092592592594,100,0.0,0.8571428571428571
localsend/localsend,1757,100,55.10580284552846,100,0.0,0.9333333333333332
base/node,151,100,119.26276068376067,100,0.0,0.7666666666666667
2dust/v2rayN,2047,100,23.583566308243725,100,0.0,1.0
animate-css/animate.css,664,100,41.846296296296295,100,0.0,1.0
Genymobile/scrcpy,2780,100,116.10032407407408,100,0.0,1.0
suno-ai/bark,83,76,44.70788011695907,100,0.0,0.8571428571428571
camel-ai/owl,392,100,3.869444444444445,100,0.0,1.0
lynx-family/lynx,142,100,33.38373015873016,100,0.0,0.5666666666666667
browser-use/web-ui,329,100,40.328421052631576,100,0.0,0.8571428571428571
Wan-Video/Wan2.1,20,30,41.69170138888889,100,0.0,0.8571428571428571
deepseek-ai/DeepEP,30,6,21.663750000000004,78,0.0,0.8571428571428571
deepseek-ai/DeepGEMM,45,27,12.652286324786324,69,0.0,0.8571428571428571
OpenHealthForAll/open-health,273,19,49.37435897435898,84,0.0,1.0
NovaSky-AI/SkyThought,47,49,46.0450406504065,94,0.0,0.7
bytedance/UI-TARS-desktop,120,100,16.47712121212121,100,0.0,0.6666666666666666
eastlondoner/cursor-tools,175,32,61.26188596491229,78,0.0,0.8571428571428571
David-patrick-chuks/Instagram-AI-Agent,46,7,45.310833333333335,48,0.0,0.8571428571428571
coleam00/Archon,36,20,120.84932098765432,67,0.0,0.8571428571428571
rag-web-ui/rag-web-ui,66,24,10.307180555555556,71,0.0,1.0
trycua/computer,118,26,3.683237179487179,56,0.0,0.8333333333333334
santinic/audiblez,240,25,31.198506944444443,85,0.0,0.7333333333333333
SkyworkAI/SkyReels-V1,15,14,0.0047916666666666,98,0.0,0.8571428571428571
GLips/Figma-Context-MCP,49,12,14.811666666666666,40,0.0,0.8571428571428571
AgentDeskAI/browser-tools-mcp,78,27,24.636796296296293,97,0.0,0.8571428571428571
open-thoughts/open-thoughts,72,7,0.6120833333333333,24,0.0,0.8571428571428571
antfu/node-modules-inspector,304,36,21.312398148148148,69,0.0,0.8333333333333334
kijai/ComfyUI-WanVideoWrapper,168,6,0.43625,100,0.0,0.9
browserbase/open-operator,72,19,2.7064141414141414,32,0.0,0.8571428571428571
LearningCircuit/local-deep-research,165,35,3.071053639846743,50,0.0,0.8571428571428571
sunsmarterjie/yolov12,174,10,2.5122619047619046,74,0.0,0.8571428571428571
IsaacGemal/wikitok,79,79,18.39775925925926,100,0.0,0.8571428571428571
ASLP-lab/DiffRhythm,46,7,38.43712962962963,61,0.0,0.8571428571428571
cloudflare/agents,161,71,4.588407118055556,94,0.0,0.9
SaiAkhil066/DeepSeek-RAG-Chatbot,48,5,7.400722222222223,24,0.0,0.8571428571428571
rmurai0610/MASt3R-SLAM,20,11,32.13761111111111,61,0.0,0.8571428571428571
openai/openai-agents-python,155,100,13.933077777777775,100,0.0,0.6666666666666666
bytedance/LatentSync,47,13,108.00981481481482,100,0.0,1.0
