Field,Value
"Rafael de Oliveira Marques,Sebastián Ramírez",1
"Pierre V-F,Sławomir Ehlert",1
"Philip Okiokio,Rabin Lama Dong",1
"Paweł Rubin,Sebastián Ramírez",1
"Paulo Costa,Sebastián Ramírez",1
"Patrick McKenna,sm-Fifteen",1
"Patrick McKenna,Sebastián Ramírez",1
"P-E. Brian,Sebastián Ramírez",1
"Ori Levari,Shahriyar Rzayev",1
"Ofek Lev,Sebastián Ramírez",1
"Ofek Lev,Marcelo Trylesinski",1
"Nima Mashhadi M. Reza,Henry Betts",1
"Nils Lindemann,Waket Zheng",1
"Evzen Ptacek,Axel",1
"Eugenio Panadero,dependabot[bot]",1
"Esteban Maya,dependabot[bot]",1
"Eduardo Zepeda,Devon Ray",1
"Edouard Lavery-Plante,Sebastián Ramírez",1
"Dylan Anthony,kota matsuoka",1
"Dustyposa,Xie Wei",1
"Donghui Wang,Sebastián Ramírez",1
"Derek J. Lambert,Ricardo Momm",1
"Davide Fiocco,Sebastián Ramírez",1
"Samuel Colvin,dependabot[bot]",1
"Samuel Borges,Sebastián Ramírez",1
"Sam Courtemanche,Madat Bay",1
"Saleumsack KEOBOUALAY,oandersonmagalhaes",1
"Saleumsack KEOBOUALAY,Vladislav Kramorenko",1
"SaintMalik,github-actions",1
"Sebastián Ramírez,Eugenio Panadero",1
"Sebastián Ramírez,ElliottLarsen",1
"Sebastián Ramírez,Brian Mboya",1
"Sebastián Ramírez,Ben Falk",1
"Sebastián Ramírez,Ben Beasley",1
"Sebastián Ramírez,Ben",1
"Sebastián Ramírez,Ari Bajo",1
"Sebastián Ramírez,Andrey Semakin",1
"Sebastián Ramírez,Adrian",1
"Sebastián Ramírez,Aakash Nand",1
"Filipe Laíns,SnkSynthesis",1
"Fernando Simões,Bruno Artur Torres Lopes Pereira",1
"Felix Böhm,Nima Mashhadi M. Reza",1
"Felipe Silva,Madat Bay",1
"Facundo Maero,Brock Friedrich",1
"Eyitayo Ogunbiyi,Sebastián Ramírez",1
"Sebastián Ramírez,arjwilliams",1
"Sebastián Ramírez,Zoltan Papp",1
"Sebastián Ramírez,Zhaohan Dong",1
"Sebastián Ramírez,Tomoya Yoshioka",1
"Sebastián Ramírez,Sofie Van Landeghem",1
"Sebastián Ramírez,Sam Courtemanche",1
"Sebastián Ramírez,Rupsi Kaushik",1
"Sebastián Ramírez,Rodrigo Arenas",1
"Sebastián Ramírez,Okeke Chukwuemeka Christian",1
"Sebastián Ramírez,Nils Lindemann",1
"Sebastián Ramírez,Michael Oliver",1
"Sebastián Ramírez,Juan Funez",1
"Sebastián Ramírez,Jiri Daněk",1
"Sebastián Ramírez,Ikkyu",1
"Sebastián Ramírez,Fabio Serrao",1
"Sebastián Ramírez,Eyitayo Ogunbiyi",1
"Sumin Kim,Takuma Yamamoto",1
"Spike,mode",1
"Spike,Nina Hwang",1
"Somraj Saha,Kaustubh Gupta",1
"Sofie Van Landeghem,github-actions",1
"Sofie Van Landeghem,Sebastián Ramírez",1
"SnkSynthesis,Sebastián Ramírez",1
"Sidharth Ajithkumar,Andy Challis",1
"Shucai.wang,Xie Wei",1
"Shahriyar Rzayev,pylounge",1
"Shahriyar Rzayev,Ehigie Aito",1
"Sebastián Ramírez,清靈語",1
"Sebastián Ramírez,tomwei7",1
"Sebastián Ramírez,sattosan",1
"Sebastián Ramírez,malicious",1
"Sebastián Ramírez,github-actions[bot]",1
"Cedric L'homme,Nils Lindemann",1
"Cedric Fraboulet,Axel",1
"Carlton Gibson,Sebastián Ramírez",1
"Camila Gutierrez,Nasaruddin",1
"Bruno Artur Torres Lopes Pereira,Lucas Mendes",1
"Thomas Grainger,Abraham Hinteregger",1
"Teofilo Zosa,谭九鼎",1
"Taneli Hukkinen,Filipe Laíns",1
"Taki Komiyama,T. Tokusumi",1
"T. Tokusumi,atsumi",1
"T. Tokusumi,Taki Komiyama",1
"T. Tokusumi,SwftAlpc",1
"Sławomir Ehlert,Jiri Kuncar",1
"SwftAlpc,Taki Komiyama",1
"SwftAlpc,T. Tokusumi",1
"Sungyun Hur,Sebastián Ramírez",1
"Waket Zheng,Sebastián Ramírez",1
"Vladislav Kramorenko,ivan-abc",1
"Vladislav Kramorenko,dedkot",1
"Vladislav Kramorenko,Saleumsack KEOBOUALAY",1
"Vladislav Kramorenko,Alexander Sviridov",1
