Field,Value
"Steven Silvester,Thomas A Caswell",8
"Antony Lee,Ruth Comer",8
"Steffen Rehberg,Oscar Gustafsson",8
"Jens Hedegaard Nielsen,Michael Droettboom",8
"Thomas A Caswell,Jan Schulz",8
"Michael Droettboom,Manuel Metz",8
"Manuel Metz,John Hunter",8
"Bruno Beltran,Elliott Sales de Andrade",8
"Michael Droettboom,James Evans",8
"Kyle Sunden,Antony Lee",8
"Kyle Sunden,Jody Klymak",8
"Kyle Sunden,Ruth Comer",8
"Naoya Kanai,Paul Hobson",8
"chaoyi1,Thomas A Caswell",8
"hannah,Jody Klymak",8
"Tim Hoffmann,Kyle Sunden",8
"Thomas A Caswell,hannah",8
"Christoph Gohlke,Eric Firing",7
"Antony Lee,MeeseeksMachine",7
"Cimarron Mittelsteadt,Thomas A Caswell",7
"Nelle Varoquaux,David Stansby",7
"Nic Eggert,Michael Droettboom",7
"Jouni K. Seppänen,Elliott Sales de Andrade",7
"Thomas A Caswell,Nelle Varoquaux",7
"Tim Hoffmann,Oscar Gustafsson",7
"Eric Firing,Manuel Metz",7
"Manuel Metz,Eric Firing",7
"Eric Firing,Tim Hoffmann",7
"Eric Firing,Jouni K. Seppänen",7
"Michael Droettboom,Jae-Joon Lee",7
"pelson,Phil Elson",7
"Kyle Sunden,Oscar Gustafsson",7
"Jody Klymak,Ruth Comer",7
"Thomas A Caswell,Benjamin Root",7
"Paul Ivanov,Michael Droettboom",7
"Jody Klymak,Eric Firing",7
"Greg Lucas,Antony Lee",7
"Elliott Sales de Andrade,Ryan May",7
"yinleon,Leon Yin",7
"Greg Lucas,Kyle Sunden",7
"Ryan May,Michael Droettboom",7
"Jae-Joon Lee,John Hunter",7
"ImportanceOfBeingErnest,Antony Lee",7
"Divyam Madaan,Nelle Varoquaux",7
"Jeff Whitaker,John Hunter",6
"Peter Würtz,Thomas A Caswell",6
"Phil Elson,Thomas A Caswell",6
"Holger Peters,Jens Hedegaard Nielsen",6
"hannah,Kyle Sunden",6
"Eric Firing,Ryan May",6
"Thomas A Caswell,Matthew Brett",6
"Michael Droettboom,Tobias Megies",6
"Thomas A Caswell,Steven Silvester",6
"Jouni K. Seppänen,John Hunter",6
"Michael Grupp,Elliott Sales de Andrade",6
"Thomas A Caswell,Phil Elson",6
"Thomas A Caswell,Paul Hobson",6
"Antony Lee,Federico Ariza",6
"John Hunter,Manuel Metz",6
"Ryan May,Antony Lee",6
"Oscar Gustafsson,Ruth Comer",6
"Tim Hoffmann,Greg Lucas",6
"Antony Lee,Bruno Beltran",6
"Tim Hoffmann,Eric Firing",6
"Elliott Sales de Andrade,Eric Firing",6
"Elliott Sales de Andrade,Ruth Comer",6
"Jan Schulz,Thomas A Caswell",6
"Antony Lee,Thomas Robitaille",6
"Ruth Comer,hannah",6
"Ruth Comer,Oscar Gustafsson",6
"Steffen Rehberg,Thomas A Caswell",5
"Alejandro García,Thomas A Caswell",5
"stevezhang,stevezhang1999",5
"Eric Firing,Andrew Straw",5
"Elliott Sales de Andrade,Nelle Varoquaux",5
"Greg Lucas,Thomas A Caswell",5
"Scott Shambaugh,Oscar Gustafsson",5
"Antony Lee,cclauss",5
"Jae-Joon Lee,Ryan May",5
"Antony Lee,Scott Shambaugh",5
"Jody Klymak,Oscar Gustafsson",5
"Jody Klymak,Nikita Kniazev",5
"Jody Klymak,MeeseeksMachine",5
"Jochen Voss,John Hunter",5
"Darren Dale,Manuel Metz",5
"David Kaplan,John Hunter",5
"David Kaplan,pkienzle",5
"Darren Dale,Charles Moad",5
"Ryan May,John Hunter",5
"Greg Lucas,Tim Hoffmann",5
"Ian Thomas,Elliott Sales de Andrade",5
"Aseem Bansal,Michael Droettboom",5
"Antony Lee,Benjamin Root",5
"Paul Barret,John Hunter",5
"dependabot[bot],Oscar Gustafsson",5
"hannah,Antony Lee",5
"Thomas A Caswell,Nikita Kniazev",5
"John Hunter,Ryan May",5
"John Vandenberg,Thomas A Caswell",5
"Jody Klymak,Ryan May",5
"Antony Lee,Nikita Kniazev",5
"Leo Singer,Benjamin Root",5
"Thomas A Caswell,Jouni K. Seppänen",5
"Leo Singer,Michael Droettboom",5
"Michael Droettboom,Ryan May",5
"Michael Droettboom,Nelle Varoquaux",5
"Matthias Bussonnier,Antony Lee",5
"Michael Droettboom,Cameron Bates",5
"Bruno Beltran,Antony Lee",5
"Matthew Brett,Thomas A Caswell",5
"Eric Firing,Jens Hedegaard Nielsen",5
"Eero Vaher,Kyle Sunden",5
"kolibril13,Elliott Sales de Andrade",4
"Michael Droettboom,Ben Root",4
"luz.paz,Antony Lee",4
"Eric Firing,Nelle Varoquaux",4
"Eric Wieser,Antony Lee",4
"Andrew Straw,Darren Dale",4
"Eric Firing,Jody Klymak",4
"Andrew Straw,Charles Moad",4
"Matthew Brett,Federico Ariza",4
"Yi Wei,Oscar Gustafsson",4
"Thomas A Caswell,Greg Lucas",4
"Michael Droettboom,Matt Giuca",4
"Matthew Brett,Olga Botvinnik",4
"MalikIdreesHasa,MeeseeksMachine",4
"Kyle Sunden,hannah",4
"Thomas A Caswell,Tony S Yu",4
"Charles Moad,Michael Droettboom",4
"Thomas A Caswell,Ryan May",4
"Elliott Sales de Andrade,Eric Prestat",4
"Elliott Sales de Andrade,MeeseeksMachine",4
"Alberto,Thomas A Caswell",4
"Erik M. Bray,Antony Lee",4
"Siddhesh Poyarekar,Thomas A Caswell",4
"Fernando Perez,John Hunter",4
"Federico Ariza,OceanWolf",4
"Steven Silvester,Phil Elson",4
"Stefanie Molin,Thomas A Caswell",4
"Eric Firing,Charles Moad",4
"Eric Firing,Elliott Sales de Andrade",4
"Víctor Zabalza,Jens Hedegaard Nielsen",4
"Truong Pham,Thomas A Caswell",4
"Tony S Yu,Michael Droettboom",4
"Jens Hedegaard Nielsen,paul",4
"ImportanceOfBeingErnest,Tim Hoffmann",4
"Jae-Joon Lee,Eric Firing",4
"ImportanceOfBeingErnest,Jody Klymak",4
"Ruth Comer,Kyle Sunden",4
"David Stansby,ImportanceOfBeingErnest",4
"Jody Klymak,ImportanceOfBeingErnest",4
"Darren Dale,Edin Salkovic",4
"Przemysław Dąbek,Benjamin Root",4
"Per Parker,Kevin Chan",4
"Jody Klymak,Elan Ernest",4
"Thomas Robitaille,Thomas A Caswell",4
"Tim Hoffmann,Erik M. Bray",4
"Antony Lee,Matthias Bussonnier",4
"Oscar Gustafsson,Jody Klymak",4
"OceanWolf,Federico Ariza",4
"Zair Mubashar,David Kua",4
"afvincent,Adrien F Vincent",4
"Phil Elson,Wes Campaigne",4
"John Hunter,Jeff Whitaker",4
"John Hunter,Fernando Perez",4
"Christoph Gohlke,Michael Droettboom",4
"Jouni K. Seppänen,Michael Droettboom",4
"Thomas A Caswell,MeeseeksMachine",4
"Michael Droettboom,Víctor Zabalza",4
"Benjamin Root,Thomas A Caswell",4
"Michael Droettboom,switham",4
"Nelle Varoquaux,Jody Klymak",4
"Benjamin Congdon,Thomas A Caswell",4
"Adrien F. Vincent,David Stansby",4
"Antony Lee,ImportanceOfBeingErnest",3
"Kyle Sunden,Aditi Gautam",3
"Thomas Hisch,Jens Hedegaard Nielsen",3
"Charles Moad,Steve Chaplin",3
"Larry Bradley,Thomas A Caswell",3
"Christian Mattsson,Ruth Comer",3
"Christian Brueffer,Thomas A Caswell",3
"Martin Fitzpatrick,Thomas A Caswell",3
"LindyBalboa,Thomas A Caswell",3
"Leon Yin,Thomas A Caswell",3
"Kyle Martin,Thomas A Caswell",3
"Xianxiang Li,Tim Hoffmann",3
"Xianxiang Li,Elliott Sales de Andrade",3
"Chahak Mehta,Ruth Comer",3
"Matt Shen,Thomas A Caswell",3
"Matthias Bussonnier,Tim Hoffmann",3
"Matthew Brett,Nelle Varoquaux",3
"Matthias Bussonnier,Elliott Sales de Andrade",3
"Thomas A Caswell,Lennart Fricke",3
"Michael Droettboom,Michiel de Hoon",3
"Thomas A Caswell,Federico Ariza",3
"Egor Panfilov,Nelle Varoquaux",3
"Andrew Straw,Jouni K. Seppänen",3
"Eric Firing,Travis Oliphant",3
"Eric Larson,Jody Klymak",3
"Eric Prestat,Tim Hoffmann",3
"Tim Hoffmann,Ryan May",3
"Andrew Straw,Ryan May",3
"martinRenou,Thomas A Caswell",3
"Andrew Fennell,Thomas A Caswell",3
"Michael Droettboom,Jouni K. Seppänen",3
"patquem,Scott Shambaugh",3
"Elliott Sales de Andrade,Matthias Bussonnier",3
"mattip,Elliott Sales de Andrade",3
"melissawm,Melissa Weber Mendonça",3
"Elan Ernest,MeeseeksMachine",3
"ianhi,Ian Hunt-Isaak",3
"hannah,Ruth Comer",3
"hannah,Oscar Gustafsson",3
"ilivni,Thomas A Caswell",3
"Adrien VINCENT,Adrien F Vincent",3
"Aitik Gupta,Elliott Sales de Andrade",3
"Thomas A Caswell,Gaute Hope",3
"Kevin Chan,Per Parker",3
"Jouni K. Seppänen,Nelle Varoquaux",3
"Julian Mehne,Thomas A Caswell",3
"John Hunter,Jochen Voss",3
"Antony Lee,Paul Hobson",3
"cclauss,Antony Lee",3
"cclauss,Elliott Sales de Andrade",3
"cgohlke,Eric Firing",3
"esibinga,Eva Sibinga",3
"Alice Descoeudres,hannah",3
"Alistair Muldal,Thomas A Caswell",3
"Michael Droettboom,Tony S Yu",3
"Kjell Le,Antony Lee",3
"Kristen M. Thyng,Thomas A Caswell",3
"Nathan Hansen,Scott Shambaugh",3
"Michael Droettboom,klaus",3
"Nathan Goldbaum,Ryan May",3
"Nathan Goldbaum,Thomas A Caswell",3
"Nelle Varoquaux,MeeseeksMachine",3
"Thomas A Caswell,Ruth Comer",3
"Pete Huang,Benjamin Root",3
"Darren Dale,Jeff Whitaker",3
"Tim Hoffmann,Carsten",3
"Daniel C. Marcu,Benjamin Congdon",3
"Till Stensitzki,Thomas A Caswell",3
"Till Stensitzki,Michael Droettboom",3
"Thomas Robitaille,Antony Lee",3
"Thomas Hisch,switham",3
"Ocean Wolf,Federico Ariza",3
"Osarumwense,Benjamin Root",3
"Norbert Nemec,pkienzle",3
"Norbert Nemec,Michael Droettboom",3
"andrzejnovak,Thomas A Caswell",3
"apodemus,astromancer",3
"John Hunter,David Kaplan",3
"John Hoffman,Nelle Varoquaux",3
"Paul Hobson,Jens Hedegaard Nielsen",3
"Paul Ganssle,Thomas A Caswell",3
"Oscar Gustafsson,David Stansby",3
"Benjamin Root,Michael Droettboom",3
"Jouni K. Seppänen,Thomas A Caswell",3
"James Evans,John Hunter",3
"David,Zair Mubashar",3
"Scott Shambaugh,Antony Lee",3
"Jean-Benoist Leger,jb-leger",3
"Tim Hoffmann,y1thof",3
"Andrew Fennell,Elliott Sales de Andrade",3
"Darren Dale,Andrew Straw",3
"Jeff Whitaker,Darren Dale",3
"Todd Jennings,Thomas A Caswell",3
"Ulrich J. Herter,ulijh",3
"Paul Hobson,Tim Hoffmann",3
"David Stansby,Ryan May",3
