Field,Value
"alainfrisch,Damien Doligez",8
"Vincent Laviron,Pierre Chambart",8
"Thomas Refis,Leo White",8
"Xavier Leroy,Luc Maranget",8
"Thomas Refis,Nicolás Ojeda Bär",8
"KC Sivaramakrishnan,Runhang Li",7
"Gabriel Scherer,alainfrisch",7
"Jun FURUSE / 古瀬 淳,Pierre Weis",7
"Jérémie Dimino,Stephen Dolan",7
"Hugo Heuzard,Gabriel Scherer",7
"alainfrisch,Hugo Heuzard",7
"Jacques Garrigue,Pierre Weis",7
"Olivier Nicole,Xavier Leroy",7
"David Allsopp,Jacques Garrigue",7
"Daniel de Rauglaudre,Damien Doligez",7
"Thomas Refis,François Bobot",7
"Leo White,alainfrisch",7
"Jeremy Yallop,Gabriel Scherer",7
"Simon Cruanes,Gabriel Scherer",7
"Florian Angeletti,Ulysse Gérard",7
"Stephen Dolan,KC Sivaramakrishnan",7
"David Allsopp,Nicolás Ojeda Bär",7
"Stephen Dolan,Jérémie Dimino",7
"Jacques Garrigue,Nicolás Ojeda Bär",7
"Damien Doligez,Leo White",7
"Damien Doligez,Stephen Dolan",7
"Ulysse Gérard,Florian Angeletti",7
"KC Sivaramakrishnan,Luc Maranget",6
"KC Sivaramakrishnan,Damien Doligez",6
"sliquister,Drup",6
"Gabriel Scherer,Jacques-Henri Jourdan",6
"Enguerrand Decorne,Tom Kelly",6
"Florian Angeletti,Xavier Leroy",6
"Xavier Leroy,Pierre Weis",6
"Xavier Leroy,Mark Shinwell",6
"octachron,Jacques Garrigue",6
"Xavier Leroy,Tom Kelly",6
"alainfrisch,Gabriel Scherer",6
"Antonin Décimo,Gabriel Scherer",6
"Xavier Leroy,octachron",6
"Gabriel Scherer,Valentin Gatien-Baron",6
"Leo White,Pierre Chambart",6
"Tom Kelly,Sudha Parimala",6
"Leo White,Florian Angeletti",6
"Kate,David Allsopp",6
"Xavier Clerc,Alain Frisch",6
"Leo White,Gabriel Scherer",6
"Sadiq Jaffer,Xavier Leroy",6
"Sadiq Jaffer,Tom Kelly",6
"Stephen Dolan,Tom Kelly",6
"David Allsopp,octachron",6
"Leo White,octachron",6
"Jacques Garrigue,David Allsopp",6
"Fabrice Le Fessant,Mark Shinwell",6
"Mark Shinwell,Nicolás Ojeda Bär",6
"Florian Angeletti,Stephen Dolan",6
"Stephen Dolan,Xavier Leroy",6
"Jeremie Dimino,David Allsopp",6
"Jacques Garrigue,alainfrisch",6
"Jacques Garrigue,octachron",6
"Nick Barnes,Gabriel Scherer",6
"Pierre Chambart,Fourchaux",6
"David Allsopp,Leo White",6
"David Allsopp,KC Sivaramakrishnan",6
"Nicolás Ojeda Bär,Jacques Garrigue",6
"Daniel Bünzli,Alain Frisch",6
"Florian Angeletti,Leo White",6
"octachron,Mark Shinwell",6
"Jacques Garrigue,Takafumi Saikawa",6
"Nicolás Ojeda Bär,Sébastien Hinderer",6
"Frédéric Bour,Gabriel Scherer",6
"octachron,David Allsopp",6
"Gabriel Scherer,Nick Roberts",6
"Gabriel Scherer,Mark Shinwell",6
"Gabriel Scherer,Luc Maranget",5
"Gabriel Scherer,Fabrice Le Fessant",5
"Alain Frisch,Thomas Refis",5
"hhugo,Damien Doligez",5
"Nicolas Ojeda Bar,alainfrisch",5
"Jacques Garrigue,Thomas Refis",5
"Nicolás Ojeda Bär,octachron",5
"Olivier Nicole,David Allsopp",5
"Jeremie Dimino,Nicolas Ojeda Bar",5
"Sadiq Jaffer,KC Sivaramakrishnan",5
"Damien Doligez,Sébastien Hinderer",5
"Maxence Guesdon,Damien Doligez",5
"Pierre Chambart,Damien Doligez",5
"Xavier Clerc,Drup",5
"Jérôme Vouillon,Didier Rémy",5
"Xavier Leroy,Didier Rémy",5
"KC Sivaramakrishnan,Enguerrand Decorne",5
"Enguerrand Decorne,David Allsopp",5
"octachron,Xavier Leroy",5
"Jérémie Dimino,Mark Shinwell",5
"Basile Starynkevitch,Maxence Guesdon",5
"Antonin Décimo,Florian Angeletti",5
"Vincent Laviron,Mark Shinwell",5
"Thomas Refis,Florian Angeletti",5
"Christophe Troestler,Mark Shinwell",5
"Thomas Refis,Damien Doligez",5
"Jon Ludlam,Florian Angeletti",5
"Tom Kelly,Gabriel Scherer",5
"Guillaume Munch-Maccagnoni,Gabriel Scherer",5
"Tom Kelly,David Allsopp",5
"Thomas Refis,Stephen Dolan",5
"Seb Hinderer,Sébastien Hinderer",5
"Fabrice Le Fessant,alainfrisch",5
"Jeremy Yallop,Florian Angeletti",5
"Stephen Dolan,Olivier Nicole",5
"Damien Doligez,David Allsopp",5
"Damien Doligez,François Bobot",5
"Florian Angeletti,Jacques Garrigue",5
"Fabrice Le Fessant,KC Sivaramakrishnan",5
"Stephen Dolan,David Allsopp",5
"Benoit Vaugon,alainfrisch",5
"Damien Doligez,Tom Kelly",4
"Jacques Garrigue,Nicolas Chataing",4
"Damien Doligez,Nicolás Ojeda Bär",4
"Jeremie Dimino,Thomas Refis",4
